"mz","rt","height","intensity"
211.216781616211,9.5877243,379434.9375,1451144.47430521
211.216743469238,10.793598,563638.875,1291299.62984904
211.216690063477,6.0078423,192541.984375,327256.573076763
211.216781616211,7.8930304,189273.59375,650568.215200947
211.216705322266,8.2993103,279784.8125,506518.871816105
211.216735839844,7.2482921,205588.953125,351919.96220103
211.216735839844,10.054514,417232.375,799677.681352968
211.216812133789,9.017204,250334.609375,602755.430278072
211.216659545898,6.1375061,159792.015625,299767.291279383
211.216522216797,11.900062,1479812.375,2159289.23484942
212.037338256836,12.665766,246532.53125,1103868.5314078
212.037414550781,12.289054,256493.53125,1060817.89986935
212.220092773438,12.193967,228780.375,351772.904515088
212.220336914062,12.340919,165999.265625,332942.760350619
214.039756774902,4.9748541,152906.828125,349634.949949236
214.062339782715,11.727177,1666827.875,6306350.44005576
214.062347412109,12.708987,1194612,3472697.25421788
214.062255859375,11.303609,1188946.375,5401989.18798002
214.06217956543,11.951928,1040687.5625,2258428.50735375
214.062347412109,10.962161,1163608.375,3367237.4554932
214.062286376953,11.558614,1240338.25,3278051.90957246
214.062286376953,11.065892,1547297.25,2919581.67275069
214.062286376953,0.45577795,171529.453125,496340.467097838
214.062286376953,14.588908,161150.5,505180.521883821
214.062324523926,14.368479,145746.1875,531084.44787024
214.062316894531,0.63772929,162628.796875,602152.862104974
214.062339782715,1.0357926,140696.328125,378129.993508946
214.062286376953,1.2518987,194245.875,394148.58096096
214.062347412109,13.259115,252691.53125,741098.32689983
214.062301635742,13.962199,180879.09375,441525.085245936
214.062362670898,12.812718,611330,1679660.37720752
214.062316894531,5.4286777,591006.375,1357194.57378263
215.125274658203,0.43416747,831630.75,2692700.95660124
216.09049987793,11.333864,1391022.125,5182085.68066881
216.090484619141,11.891418,1150614.25,3418991.39693445
216.090644836426,11.727177,1278803.625,4581138.19011754
216.090682983398,12.696021,961874.9375,2993189.12616656
216.09058380127,10.914617,1077895.875,4973963.40883682
216.090484619141,11.532681,1392968.5,3431691.57105742
216.090576171875,12.055659,1037737.125,1609863.29978859
216.090591430664,5.925722,472024.59375,1190104.28188467
216.090637207031,5.7701251,417876.625,1693465.68399187
216.090606689453,5.6361395,362000.4375,928554.953150356
216.09058380127,10.780631,1103198.625,2670416.39745927
216.090858459473,12.466948,249332.171875,637403.144166085
216.090591430664,6.2758138,459477.75,1043496.17093279
217.07470703125,12.691699,782908.5625,1714447.08720234
217.074668884277,10.85843,612888.4375,1539846.45447467
217.074722290039,9.5445034,274301.15625,955499.157288798
217.074630737305,9.7303548,278038.53125,1102195.67184625
217.074600219727,10.076125,426026.625,1291409.99421044
217.07470703125,12.155067,406937.65625,847708.552974364
217.07470703125,9.397551,291852.71875,993142.995580574
217.074676513672,8.6064272,261699.046875,1058097.10808586
217.074691772461,9.164156,326675.15625,1264176.55592064
217.07470703125,7.949218,218311.921875,932867.679882635
