"mz","rt","height","intensity"
204.052200317383,12.853605,237308.109375,776380.492802813
204.052185058594,9.5121883,269489.875,1189470.46302381
204.052146911621,7.1219853,260429.078125,910465.757245801
204.052284240723,8.7428499,270712.59375,745771.490573063
204.052284240723,9.1102305,311161.25,774571.418962157
204.052192687988,4.7447932,209554.140625,430456.646560237
204.052124023438,6.9491005,274383.59375,498587.077644329
204.052200317383,7.8481023,264735.53125,702824.970422131
204.052047729492,6.283493,196465.09375,358244.757954984
204.052093505859,5.6611071,157956.390625,278612.08216566
204.113471984863,9.8579583,264654.65625,322948.545341753
204.113403320312,9.2269279,158948.546875,259813.100377538
204.912857055664,12.736494,390598.21875,844105.234487098
204.994918823242,12.697595,1370674.375,3231767.3288251
204.994857788086,11.660284,1119471.375,4151717.87789717
