"mz","rt","peaktable_1_6a93145d1bc48e797ae1f779eae404e0 intensity","peaktable_2_2ad96385d4e11b01c12368cf109cff67 intensity"
228.971561431885,6.3077653,228984.789817597,190245.909545398
229.048187255859,1.5185405,NA,70823.1149855391
229.141120910645,11.434281,1908933.26025937,305485.926746483
229.154808044434,0.76352939,755968.180253804,625845.548452885
230.144527435303,27.9358975,65372.095126723,124462.463571685
230.158172607422,0.75975437,56256.0779202856,NA
231.061096191406,4.7298955,64245.7297854425,NA
231.066589355469,9.9341602,180713.243362171,173394.171252138
231.120384216309,0.8307889,678447.554759412,627265.906890925
231.133987426758,0.66279341,NA,90679.2272220342
232.154571533203,0.7827032,76446.5223627741,78856.1488566475
233.045852661133,13.596155,111212.595442741,203527.865138439
233.056335449219,11.2855352,NA,106515.848274614
233.064922332764,0.47876579,70397.364013172,70386.2651419324
233.076019287109,0.79865383,79304.1635229357,NA
233.093490600586,18.141662,2657841.00183113,1170196.93447496
233.189914703369,2.41417695,338107.689730535,NA
233.914886474609,6.32853175,144384.789593349,156536.459573095
234.052200317383,25.251696,NA,338609.767082332
234.185333251953,8.58945285,79186.4439106654,90869.7150800757
234.939300537109,8.88925335,NA,104592.62474395
235.024864196777,25.463343,368552.386363017,NA
235.121719360352,11.505614,544580.689718198,110263.040564482
235.913105010986,7.38236445,135051.786023877,85036.4970886763
236.072631835938,23.712882,487671.884315144,133534.738341679
236.125503540039,24.703323,NA,209496.613573945
236.16767501831,13.6291695,271807.950946874,323819.509536793
236.237190246582,24.598917,187942.396797073,NA
237.08309173584,24.6659105,155543.333858675,NA
237.101013183594,17.130284,506183.802100785,856822.618646244
237.13737487793,13.587511,1588420.82684905,203650.880250472
237.171112060547,1.1835012,NA,59792.2576986854
237.174919128418,2.1318827,NA,86115.6111936852
237.232864379883,24.300691,241809.463461099,NA
237.911102294922,0.6949228,120424.457875486,NA
238.155090332031,0.59013385,NA,130415.506998875
238.191383361816,0.5906627,223087.07933762,144838.424428136
238.227844238282,0.376730345,NA,68761.8326335658
238.937072753906,17.445799,525359.08236165,738606.936780009
238.943069458008,26.831636,292147.687645543,58876.8705437062
239.070358276367,11.6725925,110168.249673172,155856.24788895
239.092636108398,0.66279341,NA,85587.5522153704
239.106735229492,19.994368,434737.055004476,54862.2436832515
239.186767578125,0.6938935,NA,113048.844057547
239.24821472168,24.365523,271267.64743546,NA
240.015777587891,7.7190568,83937.6176782024,157191.306431357
240.027797698974,5.37043765,164736.118677786,249821.802431015
240.065567016602,9.1654034,194341.239981823,274486.293385899
240.170761108398,0.68195608,80310.7092458992,89438.683886953
240.23225402832,9.922085,92742.7012971093,91099.8853881424
240.26863861084,9.3471916,380048.905051654,367889.881533211
240.906631469727,25.593102,NA,180009.686668595
240.918449401855,16.2852735,170411.176913783,190537.781256911
240.922515869141,14.717559,225034.588827783,NA
240.93408203125,23.986875,95549.61848227,175281.536345385
240.983154296875,8.5247224,79915.2890603711,83303.8708068859
240.987106323242,4.36453055,125792.002665627,75783.4262797775
241.025604248047,3.5197001,126978.842808056,109862.246497031
241.03596496582,21.990038,336851.535992461,303576.591550723
241.049549102783,13.094081,162305.677401353,173964.885077209
241.049697875977,7.92940145,439982.443526951,225673.821148829
241.085964202881,22.552391,2563255.32758313,7320832.67098483
241.122348785401,22.0702865,1212963.12533821,258101.796126797
241.154655456543,0.72826266,34800.6304840056,71836.0488065155
241.177474975586,25.023958,256384.444164604,183548.881950465
241.235569000244,1.22730555,524817.628024265,453702.320519297
241.881225585938,25.758253,NA,113098.227409564
242.023239135742,5.4792133,128571.950988518,124667.935204043
242.039367675781,13.84418,108333.079812018,117900.761671371
242.071281433105,0.44423913,305587.767836504,50023.1368848721
242.089294433594,17.4090615,276765.099156674,1299822.0610275
242.125717163086,12.4893,413197.856456956,313770.879619289
242.28422164917,3.19390145,320006.053934854,316025.546117988
242.944229125977,24.616206,401163.295111411,NA
243.119079589844,14.639761,324861.862308041,152439.169289156
243.170440673828,0.90962367,NA,120189.438964476
244.060577392578,16.19136,101847.843371128,310594.745227971
244.069580078125,0.12081698,NA,103482.340565416
244.139450073242,22.360056,4033487.70983632,210164.255577633
244.139633178711,2.6701458,NA,271926.36508636
244.954071044922,6.6662079,247272.462202004,2167582.85338119
245.078948974609,10.919949,124732.703531098,165841.785071489
245.081554412842,10.17539675,NA,131385.685630104
245.099620819092,0.821010945,236739.884278438,243828.260369537
245.115280151367,14.6091135,180817.888023397,88117.097900635
245.136077880859,0.86822578,402828.702585451,NA
245.140140533447,11.803866,178981.352214512,113744.537058984
245.149696350098,0.75543222,353429.972401401,NA
245.95743560791,24.741548,355208.945073983,305102.235578898
245.966201782227,0.9761003,NA,87865.5141617491
245.980545043945,15.437708,NA,351560.794223909
246.13697052002,12.610319,362376.212228552,305071.785824523
246.153121948242,0.75669153,NA,46805.8150966172
246.923645019531,25.457673,4279032.90347252,4605248.14983288
246.951095581055,19.1247425,261213.832663356,128906.613567849
246.981712341309,25.511813,242236.320383196,348221.441446756
247.00399017334,21.238465,4089314.85165428,4243875.39031313
247.050743103027,24.8885,450907.498721743,NA
247.115234375,0.80042044,206712.783109458,290526.115295031
247.928615570069,24.199121,704246.289813714,565808.971993854
248.004577636719,7.54143835,476356.57158154,420422.599009221
