"mz","rt","peaktable_1_10e699565419f9caf88e774674661338 intensity","peaktable_2_35140d56ebc2345ed69030c3baf5d516 intensity"
223.249282836914,0.96969741,NA,357594.451672164
223.257568359375,1.0984814,NA,635788.02460207
223.266052246094,1.1990256,NA,424868.951612251
223.277801513672,1.3599033,NA,544478.06601532
223.28621673584,1.49540065,NA,375874.164008813
223.307250976562,1.9144627,NA,656531.989301436
223.318908691406,2.0679517,NA,626499.797748072
223.324737548828,2.1553689,NA,829898.36820145
223.33235168457,16.159823,NA,1021755.25066406
223.342651367188,7.6621053,NA,585056.918014641
223.356369018555,13.285925,NA,7576399.86793586
223.373680114746,4.4078824,NA,220201.298807759
223.378936767578,9.9844705,NA,695271.17204081
223.385459899902,9.5699593,NA,2492995.02786401
223.395732879639,5.20928,NA,386874.446275686
223.41007232666,6.0603711,NA,1372306.72360129
223.420608520508,26.157856,NA,600957.000955091
223.427795410156,26.555089,NA,819610.707778094
223.434982299805,26.738368,NA,369742.668323428
223.448261260986,27.5152775,NA,752255.323878264
223.455596923828,28.050279,NA,624909.69328544
223.466690063477,29.507584,NA,1084285.62634923
224.025985717773,22.174135,431918.092650476,371053.988816017
224.051197052002,14.09442524,57533.9410653252,NA
224.088104248047,4.687803,157672.322114777,159136.795602067
224.095352172852,0.73298578,39237.9605265797,NA
224.127296447754,0.74162993,51832.7125097326,NA
224.175930023194,0.958130725,NA,152370.92789717
224.198425292969,0.98534999,639659.457072363,650407.091808365
225.010238647461,9.0107244,176715.039800741,200170.143008199
225.034439086914,0.94954413,37738.5301484907,NA
225.034698486328,0.77620687,717390.535149994,NA
225.058685302734,17.7052895,239162.335533276,385793.498954299
225.071868896484,1.0057317,55998.797984689,88037.7636945118
225.108535766602,12.0639715,1644063.8505375,703743.344235436
225.196075439453,0.66129994,105554.968923913,75697.0670130973
225.23274230957,24.041293,368601.641626886,386672.600440346
225.997985839844,15.48861355,110345.974366406,64335.8565563436
226.000732421875,2.6439469,NA,67188.6644335783
226.022850036621,22.8289375,271321.621119362,272099.504417229
226.047927856445,3.9681627,147323.45690551,124963.28989374
226.083976745605,0.85832726,133669.698645092,NA
226.109069824219,4.8796128,89392.1839961352,158014.862927778
226.111808776855,6.3796252,73614.2154340958,70424.0190713955
226.216690063477,24.676646,254661.377717932,NA
226.987716674805,16.110193,123932.648793402,490220.233941107
227.106140136719,12.81552495,190608.213826476,122333.1507229
227.211822509766,0.856760365,118464.219497169,102722.298861257
228.195938110352,5.92127975,222559.156883442,NA
228.232154846191,7.6743333,154683.477669697,159276.540945059
228.971420288086,3.5054558,140312.433054574,249072.611644569
229.081184387207,0.89428783,NA,229141.788642488
229.141223907471,15.2587085,1096843.64708531,966809.678621282
229.155075073242,0.741457195,69882.5311432459,61751.8141836123
229.195022583008,9.8150127,455422.195395037,512706.211296152
229.202224731445,0.87846868,204731.57128524,269587.962363391
229.980041503906,0.79781735,136321.102066331,NA
230.044784545898,0.72173995,74360.087163566,41072.2646958571
230.144424438477,27.005531,79464.9630130754,44522.436224811
230.186584472656,0.86264953,62245.6609449772,NA
230.247997283935,1.8821172,463374.642804655,501366.969364042
231.066501617431,4.9667877,50821.1388371545,87886.0686395391
231.107986450195,0.842662695,260586.47352258,352493.484075009
231.120269775391,0.85832726,391267.687832816,NA
233.050270080566,9.745072725,86632.1129090606,188220.309026022
233.059593200684,4.556779315,NA,77598.7374603086
233.064804077148,0.323674195,93257.9619557619,96866.2578336727
233.078723907471,0.810154,1165188.26163395,1267354.14614185
233.093460083008,13.996166,158515.153636908,123968.79796227
233.189971923828,2.38175175,270131.226380801,NA
233.914703369141,4.6132468,97602.4306641453,86141.4468702544
234.185214996338,12.8048638,53242.3038345879,405217.630697352
234.917304992675,0.789123005,1068014.02706881,946206.950237335
235.00456237793,0.7113749,30399.7505756329,NA
235.056762695312,0.83239446,81441.388162089,NA
235.071273803711,0.78917338,141751.837659755,NA
235.119186401367,0.81510635,73276.1882628768,94208.9543345291
235.121597290039,14.90432,156286.440209871,109839.317979362
235.913188934326,26.227345,181059.450879612,217402.813637101
236.072769165039,23.023749,NA,498255.129682048
236.167739868164,15.989174,296296.722656012,361022.973411891
236.945091247559,0.828569125,215723.57776345,279530.482669973
237.0825881958,24.7457995,159458.159967198,NA
