"mz","rt","peaktable_1_b42ad67b5ffa65aaea420c60e1fab6b3 intensity","peaktable_2_54a6a55e44fb729a4104bfde9fdb6f9b intensity","peaktable_3_0f741699b76aff9fee4822748a201952 intensity","peaktable_4_46f664aac7a03c653f55ebe81c0750b7 intensity","peaktable_5_57332589ab361972997280ada9fa3ddf intensity"
227.20085144043,2.2531528,520265.73517978,206122.097815451,322687.228647883,208202.183850654,231771.441239144
227.223373413086,0.29088839,NA,322411.48360748,383855.572984228,296184.902627877,241361.83646661
228.97193145752,6.83538675,183248.930784052,243116.445896473,161890.859284265,342503.690925378,246323.832029168
229.141296386719,1.1380032,305729.291260528,230067.263806651,320416.759696264,287081.800202632,408147.658082189
230.190856933594,1.7971489,609267.657235453,259883.715955664,355551.292700665,365984.173738398,469497.956510157
230.248062133789,0.77494665,342200.742892085,267683.394145972,961947.367219191,270135.320473872,243091.893785936
231.120315551758,6.65972495,NA,NA,111830.317971424,NA,NA
233.078811645508,0.21739032,1914663.28319377,1876278.65514864,1960675.40161053,2065119.06738502,1788682.14368745
233.099761962891,6.53633995,480667.755988636,NA,390312.171116873,465366.508643248,506550.081419023
233.190155029297,3.398475,7803222.51904177,3279417.55895853,5188323.74601298,1223563.40489823,6202932.7271535
233.915245056152,6.6487154,88936.2644010048,NA,140268.703254927,144075.347764612,92932.993043087
234.185333251953,3.43091155,2935270.90812431,526222.42624916,1538411.69358835,2347040.53224356,614300.589384178
234.193496704102,3.18022875,1939182.40426874,377495.053853794,466674.491585972,1475653.23559999,480465.769977351
235.070907592773,0.21739243,1042919.60114085,1796108.00044634,1443385.15674315,1006528.73456352,863791.020423588
235.188919067383,6.6616817,309553.606904252,193161.909895198,415952.999919218,179754.071669206,NA
239.07048034668,6.6401101,194362.989270345,351014.296632936,336307.358828965,340112.981024602,265704.544071691
239.10718536377,6.5579506,556457.29234515,656972.312412067,770383.70260244,780953.092620924,682002.364676602
239.149353027344,1.04725895,396403.969007945,437444.699549086,375588.092760187,406640.785539231,483041.258181412
240.027801513672,0.77930805,375202.206822188,333832.017128278,444091.22055285,448385.751022474,549379.269321185
