"mz","rt","peaktable_1_9a1a6818f2d5c0a846f9ec646e2fafc6 intensity","peaktable_2_8d59aa14e898d651b1d995a612c7bd53 intensity"
255.103164672852,24.57741,382120.601441719,NA
255.192893981934,25.0844305,901408.585518267,760060.336722653
255.980407714844,15.2581422,132315.033787381,101385.004072731
256.820663452148,12.48141901,576543.458919627,52615.8621122197
256.96435546875,13.715599,598465.259558081,523209.802751253
256.964599609375,14.742969,624728.778941339,371789.367603738
257.113250732422,0.756886515,71655.4324650694,45499.785603244
257.117004394531,7.6252502,NA,246219.129079547
257.135787963867,0.92011063,372185.578009444,89288.3316690749
257.226257324219,9.82584205,1313668.82091821,1362834.7926337
258.101409912109,20.255285,186888.013819091,505355.90232329
258.110321044922,0.759825815,453480.922541249,374231.764301604
258.137634277344,13.2228765,2911518.22444695,2486258.226225
258.81787109375,24.702752,534284.409044882,NA
258.93603515625,0.8236802,213176.511696786,NA
259.066284179688,24.296472,360718.915805162,103274.208409172
259.09651184082,14.986014,125267.069766703,138879.744767977
259.11540222168,0.85761588,218066.184040946,218967.660415705
259.140777587891,20.197515,450630.623918691,283959.889228368
259.15153503418,0.870657415,375872.619757139,322083.799404924
259.242080688476,9.8193587,1117643.20576012,1303712.91408858
260.001098632812,25.653619,243716.871924016,NA
260.027435302734,0.78507984,106816.120972383,123021.640880729
260.080444335938,19.572389,158912.460136579,84231.6371617089
260.117034912109,13.322285,628248.364305013,352960.193681732
260.153167724609,11.8519105,1949461.87236935,286828.014317531
260.927947998047,23.637665,134502.420111032,237930.542951258
260.963043212891,25.485056,238595.347115512,NA
261.109657287598,1.0435921,351020.978635574,82485.5306914763
261.120422363281,14.5062225,1238876.6215078,1365594.68859663
261.130653381348,18.3038455,152667.234890262,225815.832026344
261.156677246094,13.897369,126249.553745574,597866.070251729
261.185020446777,4.77620505,719201.767178213,NA
261.221252441406,1.1470016,NA,225037.697549015
261.997497558594,1.3363834,122641.435279045,72442.4102379433
262.105766296386,25.443657,2077157.61908024,2460538.66032656
262.1342086792,0.802069215,82810.4026154316,104012.881453409
262.150115966797,13.96196,140093.696858202,246352.61903116
