"mz","rt","peaktable_1_6b90e8c752d870980615d885cf6a8cb2 intensity","peaktable_2_80d57e6d648fd28c65648c9d92fff215 intensity","peaktable_3_a485962c3a167c541bcf4e4788708084 intensity","peaktable_4_e9b20dded3643d2f592ac7a5948734bf intensity","peaktable_5_941bba646ae229c9ebaeb2164492f0cc intensity"
234.185424804688,4.22183525,3054242.5924573,3171717.44474065,3018026.29276096,1120082.01918806,3111705.63786491
234.193542480469,4.345019,1618318.14031959,1441828.10791678,399766.74625973,718012.857603797,838246.731511884
235.188743591309,1.36923235,561011.667053112,NA,602815.264491399,288060.298065001,NA
239.106910705566,6.5449807,NA,NA,669388.066474544,683348.140605299,NA
239.149131774902,1.4535326,410614.286131661,535220.776727509,527502.684474959,593375.188787824,613278.324113155
240.027969360352,0.66689032,447242.393310033,519869.547296313,540883.136633969,472327.422135546,448466.833151143
240.065811157227,7.07761145,568258.007994862,NA,410606.584135181,344858.152801106,376220.612686282
240.232460021973,0.33408761,1607789.89956666,1669712.29593096,1489025.10205197,1724178.6828162,1658760.3914049
240.268745422363,0.88516516,NA,319576.570993746,NA,NA,505590.059460314
241.025802612305,0.40756338,655292.245196858,836267.839408659,793768.675805955,551660.659362574,626614.399863964
241.036247253418,6.51689415,1129033.94010337,466820.774219605,522157.564276176,823177.589947403,1229654.19814023
241.049789428711,1.0256204,739981.765297482,297990.458158149,522009.418035011,736941.582170734,468230.990640479
241.08617401123,5.30669175,3759780.32815061,12586617.8054429,4921294.84723237,3560926.54260455,7372467.63060111
241.122550964355,5.5897908,765736.442075109,651393.946451198,843865.301607882,867012.005310544,825729.032069439
242.089508056641,4.02518945,636378.385464378,698361.779101032,866779.227941016,574449.550590382,558481.287518163
242.089584350586,6.6011686,906274.507871402,1881603.29311772,NA,1671108.77987428,1757293.78408149
242.125946044922,6.5665915,856111.398972871,925459.146836159,946906.740877341,956827.323231549,811882.718274052
244.139686584473,6.5925396,1858223.7340532,457801.795322994,2024459.96902874,415174.648756598,1826806.26613215
244.954177856445,5.7626915,1687119.40970228,4575015.3574207,5702509.79225346,7326949.94152602,4626190.79720729
245.099830627441,6.8094794,538082.366867373,775568.30726025,1138900.77996776,398407.050859593,503780.877299811
246.923942565918,6.5276918,1046460.16978804,1061899.05673989,838207.844431573,NA,1191093.35874474
246.951248168945,5.3563967,1851375.6325069,2045692.80853746,1109176.7842336,1585376.76378378,1501988.65675333
247.004211425781,6.4931077,958060.333915835,677882.771932364,765820.868910501,465246.362732999,354234.982921741
250.949348449707,6.5255388,NA,1352409.25971042,1437245.31736799,1270426.21972791,1485205.59864678
251.046966552734,3.2990649,459370.161050674,605783.394719096,3117761.03293425,289813.013144461,3514374.35700233
254.823867797852,6.3418406,3510831.99962273,5381530.79007669,4584619.45136318,5711465.35806167,4753510.07730332
256.820907592773,6.3137546,3211716.75168783,3609249.52121493,6460708.13655911,5168768.52673122,8890026.25730567
258.137878417969,5.1316449,1768439.35682086,1479885.99093009,2813801.42708727,2643463.63376434,1821666.38869593
258.81795501709,6.3180652,1839029.74110242,5197807.89221232,1735610.81279866,4153307.31812538,1755982.02980359
259.115417480469,1.9095012,809506.298496417,449338.286360456,636773.582160422,497084.511196825,511667.804417484
259.205993652344,2.4303165,1087326.33342796,853292.587834404,993835.394273959,790004.463753475,680876.526675374
260.117156982422,5.027908,7848956.08514294,4391377.35121388,3741608.81201251,506502.032909048,2696027.01918039
260.153533935547,4.3968998,3053597.94642394,2958113.76335925,2367690.86957242,1415066.80985981,2287176.99806269
261.120574951172,6.5557858,844830.430414566,471395.879593948,489944.986911962,668703.082879378,498736.444555736
261.131103515625,5.36071175,6805035.94172241,6701779.2360566,9719346.53665234,7232309.71335262,7817767.08992963
261.185150146484,1.393001,1094318.42926823,1349793.31687945,1697608.78201322,1998592.34935059,2156677.72214123
262.134399414062,3.0267718,1293045.30850575,712185.029452546,1181914.09628536,215272.733067582,1224067.03978552
262.134613037109,3.448388715,NA,NA,487222.91368713,NA,485074.681436737
262.981719970703,5.70648795,5856170.2120924,4019210.42075253,5404356.41534958,7957513.50752254,7976162.67419774
263.985137939453,6.4888007,NA,1670919.64758761,1193053.07930804,1109130.84459647,1359966.73447749
268.263702392578,0.50264314,703066.24573894,690853.066301189,NA,NA,636822.535036224
268.300033569336,4.11810405,960046.454223838,NA,1925753.17957333,NA,NA
268.998687744141,6.3677665,23013749.0398095,23235031.7733607,22571129.4551654,13523376.4688338,17445374.1791949
270.001983642578,4.2542542,1272955.81968155,1558980.68198745,1041676.88376086,1404523.79758002,917153.178185845
270.315765380859,0.45942203,761894.503049576,806671.091701214,795988.750688894,711003.878379851,817324.656819558
271.002868652344,6.4844713,4552005.75108057,4609606.3964448,4467322.8621525,4493438.4327055,4260393.38998015
271.154205322266,1.7430985,860225.48232488,323680.390347139,648985.871271026,548068.804478976,543811.509296088
271.154647827148,6.3072564,2683953.25688246,NA,NA,NA,NA
271.973236083984,6.5017596,2540565.6708041,2637496.1789645,2461461.38311763,2740989.20970158,2702049.58170096
273.16748046875,6.5536247,585286.520441175,411836.782884441,466524.808699152,504679.471744988,543828.948158159
