"mz","rt","peaktable_1_c4b3914dd90735a33a45120d8df44ff0 intensity","peaktable_2_1b1006ad6cb397288f90b10ef7667b13 intensity","peaktable_3_f4ec1ff27c5417004501f1ddda634b82 intensity","peaktable_4_bf770f1972fab092cbade6df4f371c50 intensity","peaktable_5_4140721552f8eb635981a4efba2257d6 intensity"
208.181091308594,0.040186901,279577.243493423,269245.291045197,NA,265987.169349509,NA
208.99089050293,4.9976514,1610397.70460313,317236.716394678,226248.413285386,314246.034537056,305700.257320746
210.110397338867,6.5622651,312044.504140264,268481.431526407,209099.624485437,335976.17804415,766814.949151542
214.062927246094,6.5579517,181873.178359254,165118.403121354,294812.675793048,286211.203034669,751087.561118059
215.089324951172,1.2244492,402673.658275907,315405.305994277,301520.43194025,321341.989600655,293089.632631215
215.125732421875,1.1250355,164205.759884997,236423.658022158,565424.097896073,295232.00488345,242413.995164624
216.091064453125,6.56226295,504058.060989857,463004.946615281,335849.441848925,477154.820116498,421811.22580091
217.104965209961,3.9041598,4632751.06479726,1997972.07589921,3202787.69652395,2504498.29707673,4613677.15839171
218.070236206055,6.64655455,635535.893700965,461372.431255634,921581.843264349,174111.873359891,218905.96395844
218.106552124023,4.6864701,418080.941412702,2884115.02624629,2657312.66140069,1163066.97320541,2549513.42404615
218.108261108398,7.1335949,189355.033362235,311281.024150221,357328.181970643,359234.584527824,352456.328450496
218.21167755127,0.236832255,714911.063176672,NA,751592.081205631,720746.976006638,677752.025631486
218.943626403809,0.2087363,NA,1228931.37067023,1390680.86249799,NA,1236546.82006448
219.090728759766,5.48605355,2709222.28841422,2286482.04010857,2815853.76840508,1987907.84898231,2154610.80343811
219.09712600708,0.219548445,NA,1348601.93449507,1112666.69452703,1114319.07248238,944467.247881802
219.110107421875,6.586038,174378.850626352,NA,NA,NA,157901.787352405
220.909843444825,6.4347647,NA,3698377.1784358,3601963.02547333,2903215.43065316,4946794.54766476
220.971115112305,1.0710047,300325.092016387,408992.801557647,473453.811855982,1599763.63541513,470788.720534531
222.005386352539,0.90028196,946655.738216597,1579228.60863601,1259429.66099538,893522.226590624,788645.459607295
222.055130004883,3.165079,12474568.027693,11556672.3607505,1946093.93010842,2067909.1768679,11317651.7215184
222.091537475586,2.6939708,965755.574496271,1357456.83507909,1269132.90325443,1014269.85264551,1358139.36764668
222.90705871582,6.4498899,NA,NA,2466509.46780242,NA,NA
223.052284240722,6.79606835,118775.772864506,NA,NA,NA,196954.741009704
223.058563232422,0.943506585,1353557.42869144,587328.422257381,525395.491748311,904318.518492736,1084483.77005137
223.09521484375,6.6724806,492728.233349432,397529.913805473,335479.692142087,263720.437069476,443454.407809733
223.115325927734,0.10933628,1713219.95772383,1175031.80202369,2145523.79266785,1100989.75220094,1801619.32079292
223.122230529785,0.3729857,1895362.49405726,2033509.50268576,2012610.39747075,1190806.57713741,2026077.49400015
223.137916564942,0.76846401,2555936.99041787,2006701.12778055,2861821.10773239,1901904.13514673,2980142.12470417
223.147575378418,1.0991053,3251975.28104592,3658669.32838682,2433339.65560472,4626528.64649882,3857328.04955368
223.165512084961,2.0802209,9511674.64616119,7863566.86390476,4579407.84326193,9311770.84041975,5658684.21722548
223.176177978516,4.7340105,8321951.34319502,840801.95951541,6303130.18109769,8328764.71953478,9377050.30210307
223.179542541504,7.0000132,1080084.58988035,2007227.89789299,1025513.05203469,2083620.52291548,1396841.28003257
224.088150024414,6.8306502,232299.228171531,NA,NA,NA,NA
224.088390350342,6.83733295,284648.62292353,223414.032308115,236032.841105189,254221.532642205,NA
224.198959350586,0.25844748,NA,289305.940985513,NA,NA,259965.545440437
225.108627319336,0.72091232,643721.746053831,587105.746006144,678628.542444478,561098.733317658,508048.873570584
226.047988891602,6.8116097,228013.071452861,396311.111668765,178543.761504629,248580.286810727,316661.220396118
226.048446655273,6.70077865,201718.994587559,NA,164388.024865685,NA,220450.19781112
226.109588623047,6.6357456,230395.426428548,240939.07777248,139844.539909676,232000.418252896,242949.547543382
226.988220214844,4.152688,161594.826846163,2758354.61803787,1309230.36984458,348339.211201734,995363.210115743
227.106216430664,6.6919334,384652.895522858,133913.976598582,163781.369228146,294044.500508325,318516.305872967
227.200866699219,2.2682403,318265.858070971,677813.136776554,318938.577579866,1332311.78750653,293122.52024548
228.02209854126,6.48015285,1368938.3010255,1563850.39084367,NA,NA,NA
228.971939086914,0.44862681,234681.223679797,192746.235557345,189951.352256801,327632.431511634,NA
229.141304016113,0.73171343,491976.520353586,374377.277008148,522060.061710196,258713.413090048,354679.800798324
230.190856933594,1.7214844,929545.762643952,867528.009371857,292284.441807667,372006.592262717,502246.229189064
230.248062133789,0.44429759,269677.477022766,197073.845316308,865160.513935945,285005.648332245,970761.587551871
230.248512268066,6.93910315,NA,NA,141674.149708137,NA,NA
231.120788574219,6.5795582,NA,NA,NA,191106.632137937,NA
233.078765869141,0.21738495,1425213.24356581,1517911.57069157,1529613.82498932,1548269.00714715,1472689.41012065
233.100234985352,6.5492941,NA,501965.629006116,438640.413400334,NA,385495.693360482
233.190170288086,3.273136,7894736.86879016,8918140.93935001,8934135.58461296,3577023.17534927,3677161.8788788
233.915252685547,6.72887565,208986.881375449,90483.720211388,226444.588990305,248193.979116364,105935.23288712
234.185340881348,3.5194975,2249521.22941181,1133324.16687368,1803314.8112458,978782.593202627,833059.339802967
234.193496704102,3.8739112,348606.014441654,1784530.21469557,1962642.69396317,291498.905633838,2312512.75119668
235.070915222168,0.215228425,NA,673477.185751313,614544.054361535,NA,NA
235.188919067383,3.8544534,402299.007474165,279746.685157814,164810.859848674,184138.566820407,294003.335764572
235.913276672364,6.72887565,191633.228772919,190839.65923422,215468.911521913,NA,137594.219059287
