"mz","rt","peaktable_1_c6fb17d91318cbba3e1bac33fd03d3db intensity","peaktable_2_e5403b7645c2614ca60f49306234eec1 intensity","peaktable_3_a3c0385ce2f62dbf8e35264cf2ef93af intensity","peaktable_4_68caf61b8706e9080f378cf2753f1697 intensity","peaktable_5_70b2632776666e849be07047c1ac9d25 intensity"
202.969436645508,1.7480019,78696.0787310549,94824.1255833743,60938.4001944961,341099.228827019,325253.981398712
202.994277954102,0.38518966,104578.42510816,90563.6892603235,117313.22800374,127203.782625243,128601.683447616
203.068817138672,2.091038,180448.102104547,152756.966947072,168808.761720305,177426.065927929,173555.542617779
203.113082885742,1.8058841,741701.023606057,747573.145593446,757545.956438481,732968.67495389,729268.994595496
204.052658081055,2.0319472,96248.6248134659,115262.644699506,422671.919426175,103987.777060916,112632.537412833
204.090187072754,2.03947685,NA,113537.419732189,NA,NA,106419.040319163
204.995513916016,1.25408,3213288.3283352,1534583.72106882,1284214.53572823,1512062.08258969,1506653.18542144
205.110610961914,2.0322154,NA,153952.991577954,122338.386242917,NA,126860.819714951
205.947357177734,2.0137877,1040072.34755811,950545.444544321,952193.016522796,1051957.75250571,1012236.56762079
205.98462677002,2.03722715,98205.4605195757,NA,109992.314282589,111251.972561662,109277.530436988
205.998077392578,1.7306106,NA,NA,262241.739803262,NA,NA
206.077522277832,0.54243376,856347.513755531,722370.82197878,746763.519910521,418143.697675428,815925.941254991
206.992095947266,1.1074902,408992.943885336,1624377.60724651,385277.018164612,237260.731440865,377491.959955787
207.079208374023,2.1460208,138798.766554286,54530.4243567857,117055.218675973,113115.219972486,143192.116562993
207.159255981445,2.1808257,62287.1458214121,NA,NA,NA,34560.6017593009
207.984428405761,2.0399362,107872.296403603,126296.443776684,114395.793741207,149812.307194847,NA
207.993240356445,1.6683656,324408.976031403,300392.495143126,NA,301274.56461158,NA
208.075408935547,1.258413895,146523.148685901,131242.876296257,122107.537618893,126720.026767834,57656.6036096309
208.133422851562,0.224810935,43986.8668887645,69823.1967054622,53767.4593151315,60735.3592252703,61754.1155770132
208.169708251953,2.1482093,77435.2186871021,78167.0980354049,71714.8142310887,71346.4051454614,69231.6703913981
208.18098449707,0.15559196,141886.521582078,93287.287716556,111988.156625365,89197.2767912437,86451.2277263848
208.991188049316,0.76897236,175384.71238604,214011.146758109,198248.159424486,156106.678586881,221749.066998258
209.201370239258,0.94906524,139813.328838403,465982.052420108,150701.593067207,116832.880686421,103982.510707325
210.11067199707,1.5714208,2322872.38852444,626289.551487799,672175.186508796,2505710.71527309,2049792.00718303
211.216995239258,1.58057325,1115524.39327275,335442.409383536,320051.071764822,330671.324740767,302105.951689139
212.037551879883,1.9379014,480544.235770545,432352.226213345,503153.913984658,444045.430408595,516837.101500357
212.220008850097,1.92414645,NA,NA,NA,299355.070191442,328606.89940473
212.986297607422,0.03218939,47885.476435891,43971.5355585765,43370.1974236045,53260.1441174087,NA
213.110656738281,2.0716096,NA,85845.3639285376,90491.0714330945,56269.9451154162,NA
214.040588378906,0.051945274,95235.9450603307,NA,NA,NA,101798.157544748
214.062484741211,0.81907041,382181.224279929,243795.073581462,545755.452528669,401278.302767237,352069.673296358
214.253379821778,0.708786535,809988.285138033,617313.845273553,690065.308588019,512167.255054957,578157.657243354
215.065467834473,2.0519526,79567.1555973804,NA,NA,NA,NA
215.089233398438,0.65528661,121804.52098029,307143.659534531,215728.457165643,103750.375150472,225728.835938056
215.125648498535,0.97832169,988957.664225478,325379.48217622,715469.995896565,667111.589792994,1065690.04336451
215.256958007812,0.39925847,51528.1479490682,78022.2336814833,71877.914469527,62206.0771522149,55377.1770868918
216.027893066406,0.54148822,56899.2191967488,63071.7588759352,65065.3789343733,57084.2096328803,42638.2514624335
216.090972900391,2.0191244,59559.935459607,335244.551915052,616941.572125618,73220.5114475274,574026.564926637
217.074851989746,2.00757875,442941.016780721,277900.821025149,420393.064683822,449708.926801711,488434.543151698
217.104873657227,1.3682822,4290685.63511643,3056416.53278326,4087549.77351375,3380052.7483082,6386063.78200499
218.034255981445,2.1842918,70585.9155529297,73250.1625362366,NA,67272.9203212294,37256.1853385276
218.070571899414,0.88337466,433238.140067284,349262.830951614,279715.057926715,152830.48264873,429849.099914285
218.106887817383,1.3575082,2050273.23917969,629890.347600607,1670527.60582782,1838119.08778537,2265360.42798291
219.090606689453,1.6203274,341635.872665239,2326300.18238954,582532.806185529,2902215.50854462,479031.077466214
219.108963012695,0.43738312,NA,NA,NA,NA,123879.397585279
219.109786987305,1.65072785,102382.148132709,165259.102659028,107723.088224149,103548.214047494,129921.943237228
219.127182006836,1.8178512,894476.833893914,996882.393348421,1016461.71361678,1099820.17892149,493893.345602835
220.093307495117,2.0300269,NA,NA,98207.8473525053,NA,NA
220.16960144043,2.113899,46459.3982256423,72492.379199827,31276.0594436606,48063.5162840538,NA
220.909736633301,1.9028842,513653.35844379,588086.477721659,539611.810463201,1183418.99153602,702084.880965714
220.971439361572,1.61919705,970158.227347271,542012.629849616,256236.304058564,354574.873638394,824978.83140472
221.160293579102,2.0203533,NA,NA,NA,NA,81972.0052987669
221.842430114746,2.2005227,48893.2786815467,NA,NA,NA,NA
222.005569458008,0.88591617,843450.093403057,741549.643453015,942614.92031232,774216.666099981,503268.865168631
222.055450439453,1.2544065,12517393.9137657,10918533.5866323,1558714.43090101,12132067.0658748,10540222.1902969
222.091857910156,1.2458919,2155278.07212012,1200967.5787097,1138844.9031495,2017967.22818613,1445237.3140681
222.221649169922,1.92993265,NA,325311.582739314,NA,NA,403781.668508614
222.266098022461,2.2115392,NA,50669.764116905,NA,NA,NA
222.906936645508,1.92230505,805630.980634194,814572.324986669,876721.209324117,769559.309022937,312563.708388246
223.052642822266,0.44956228,143192.346081645,115028.861662243,130883.633463902,144907.61935643,143347.819184379
223.058769226075,0.55078085,1124019.47181908,1177742.70985537,1145890.38155494,1309622.64764297,831201.128522235
223.094669342041,0.58847586,134820.744898926,422790.142571939,141528.672227682,403348.986554747,378099.322156037
223.133853912354,0.1480472775,322476.093895661,318233.653606376,252185.902620703,302839.76305459,361627.11259978
223.149978637695,0.54805381,529053.469078441,436270.287759618,632638.713349779,499242.325368358,611018.284570909
