"mz","rt","peaktable_1_cd50ccb78452ec991ae0713c06eaa2e2 intensity","peaktable_2_1ce76f90ceb7b6eb61e97d80bf2b2758 intensity","peaktable_3_97941a35a927156f25f13ad8bbe6abfe intensity","peaktable_4_bc2c8b6bf21ec6153e480103a3c1b008 intensity","peaktable_5_b6fd2837c88205e51932742f87fa108c intensity"
242.089538574219,1.17866945,1100329.21413891,903999.258280778,616020.507085451,991663.43440132,672068.923447922
242.125854492188,1.44314885,635124.102740251,865543.12734892,1136432.58052538,725841.925190861,870997.880515972
243.119384765625,2.0424264,776596.637258861,378810.859764304,804066.614078135,396132.763999104,799678.793514466
244.139587402344,1.3753223,1294426.81782319,2448507.46597269,1110812.55923906,814413.220380662,1043886.09565604
244.954200744629,1.8665589,12177243.3438656,7218535.30828015,4787136.98922206,13097844.8094604,5191189.80530381
245.079223632812,2.0752551,651092.765639719,571603.434356207,578525.929363054,671773.851744163,600285.285609212
245.141754150391,2.0219865,613921.862505165,551777.922695088,550904.577509487,669913.422391175,725164.136768205
246.137313842773,2.0327338,722429.718808239,703911.805501736,792490.355541369,764424.078991619,770621.732762179
246.951259613037,1.8724553,4631407.87477745,3021694.42501068,2351798.99002368,4618085.245881,2333740.85541492
247.004211425781,1.79104405,1765974.92095739,556216.608683247,1001102.08769503,1478680.5269175,447251.146883773
250.941925048828,2.0613804,NA,430382.621001751,NA,414113.935428873,349392.354300823
250.949447631836,2.0063841,428923.076130585,NA,457989.474473854,408827.923878138,NA
252.019805908203,1.5408559,265214.576272125,NA,295711.333750946,NA,535472.171205277
252.939964294434,2.0639353,NA,370807.124440077,NA,NA,NA
258.101684570312,2.0067077,1449404.59373756,591087.253485023,1448417.20890834,660335.738208728,666176.011305845
258.137969970703,1.7940941,1235400.55748039,1746652.92590954,984837.649731703,1329056.27814422,1150214.73497852
259.097068786621,2.06237685,NA,NA,NA,359652.440224477,387236.600955093
260.080955505371,1.75701345,567287.768308968,1446584.97279502,236138.467987058,865333.502460635,837506.401830211
260.117248535156,1.8030104,1270260.35090899,1073003.2844226,1159858.15894234,1198800.41544234,716835.979967606
260.153579711914,1.8743,5573886.97913287,11890376.4712155,16624904.5194165,16625027.9034254,17667940.8080205
261.12060546875,1.8071943,1514013.95330015,980600.183536219,1563411.76009762,2044627.39343049,582489.319647234
261.131072998047,1.3430873,3740117.14578574,2781479.42528395,811086.668099695,2039318.891685,1769875.96550128
261.156860351562,1.8095761,978820.74379556,1536676.33570256,1486662.98532354,1372248.85316915,1909227.08299955
