"mz","rt","peaktable_1_1ca86a2dc32aa7b970404b23b4005027 intensity","peaktable_2_53a6936725880b6aeff49c15941591eb intensity"
205.984252929688,13.747428,618255.579415781,271405.975366921
206.027397155761,5.7836699,NA,81642.8587458937
206.077438354492,8.9606704,132258.005751341,213574.623576292
206.989181518555,25.743063,249675.701784255,103438.387190219
206.991928100586,12.125282,622258.24974469,298181.288689916
207.066608428955,0.25168935,123838.889665578,91541.9647666178
207.078357696533,2.52655715,97893.3644606534,77564.6828074975
207.080924987793,27.5704295,49402.7239329374,93601.3567732002
207.983898162842,14.2305345,302355.060542351,247858.895222576
208.06608581543,6.943586,NA,76993.1651922306
208.07502746582,3.4372421,133041.955735286,74996.5319357081
208.180881500244,3.71834995,157994.319548706,199817.270806054
208.990711212158,14.0308345,130578.52040086,794737.659945491
209.064682006836,0.27111245,87173.2231641313,NA
209.176124572754,0.49586288,124983.80061453,NA
209.184238433838,0.83988558,127331.276912478,123368.259669024
209.201217651367,8.2947606,140183.952769067,111731.983277718
210.110076904297,14.491773,467735.472030913,334155.210473911
210.160133361816,0.59065834,109219.801548189,243677.438631347
210.196533203125,0.38781007,131851.630444571,355199.625616163
211.113552093506,0.8800076,237348.366622352,286004.164379441
211.180519104004,0.53044003,79193.93905694,NA
211.216850280761,12.8624045,371721.678470382,480890.137134382
212.034290313721,0.7501452,69246.8447371175,70110.5818506679
212.037422180175,25.244535,1228338.51906328,643392.068033394
212.118316650391,0.8365438,NA,684131.931133486
212.139343261719,0.85177055,90726.0183734008,269778.170619857
212.13939666748,0.33996683,NA,148910.056839489
212.17578125,0.62062173,68487.1383450089,135757.417698267
212.212158203125,0.35582203,82919.4337689451,186960.805057035
212.220352172852,25.022432,383988.577232774,NA
212.985927581787,26.8821695,103564.224571233,103756.207105552
213.10973739624,0.863751245,229911.149003879,317503.237208918
214.039916992188,6.3659088,85999.0110983146,107109.637977749
214.062454223633,18.132536,2979357.5896725,537397.951449405
214.155090332031,0.67987008,84202.3172672822,89652.7355779699
215.063377380371,15.525049,NA,238025.264778513
215.06575012207,15.556817,231373.717202341,77360.3306241916
215.089370727539,0.76871356,NA,50781.6701672502
215.12544631958,7.1960457,143510.46029843,189298.638685451
215.139221191406,0.75806593,NA,64129.0076899816
215.983406066895,0.72670693,56922.6459213856,49078.7117797766
216.022537231445,4.81337355,45634.1812348648,NA
216.027740478516,4.8843987,65461.6964376443,90433.1036141487
216.038265228272,0.245496805,56197.9600425556,107882.984229874
216.062957763672,5.6369563,98501.4651126729,NA
216.090728759766,19.669479,76977.1530489847,174801.221472613
216.128784179688,0.864196615,279156.270677675,324406.042750755
216.9814453125,0.720614,56513.6260854182,NA
217.01953125,15.65817575,110766.084050755,NA
217.041549682617,15.799013,56864.6355791145,211531.923812584
217.050849914551,0.242389855,NA,118941.462909253
217.074760437011,17.3518115,260811.231118826,372227.587645338
217.081073760986,0.813060315,224585.041983004,398500.43951827
217.094131469727,14.9465215,182582.604331288,NA
217.104682922363,4.7273104,256692.463728703,340745.286875425
217.11589050293,16.8702985,163243.97401922,244094.445849616
217.19499206543,7.1814929,NA,406347.654531566
218.069980621338,21.6037825,973508.704174659,793692.239135124
218.106323242188,21.919146,86924.0505760557,119632.249244572
218.211486816406,0.8800076,1992044.8191994,2070382.09947029
218.936393737793,16.587803,211377.327107817,297110.546921021
219.030044555664,24.145988,773029.764168742,310340.34478195
219.090362548828,11.926419,6864549.87078037,88131.0297114897
219.096855163575,0.774918515,821001.532037811,1897478.50976074
219.109710693359,15.085115,349743.784260471,114357.26484559
219.126739501953,12.68063,353126.605912741,621021.239884693
219.214881896972,0.88865186,249613.989364537,216923.334906763
