"mz","rt","peaktable_1_a0d25fef67532f42501b07e27fab8747 intensity","peaktable_2_153437c90d223ce0da85ff0c50cf80e3 intensity","peaktable_3_efa6f65476b7343e5481e46df0b1846c intensity","peaktable_4_42513057733130ad46e2365204c0487c intensity","peaktable_5_040d565d8e12fd6f47dce862588b8ddb intensity"
223.165969848633,1.0894762,3731135.32247385,1458601.14472172,2917231.00178372,3932015.05504538,2564005.60936581
223.17431640625,1.6093049,976457.237113921,622653.376663546,2383914.83752338,2756915.08889827,36680898.3551925
223.179008483887,1.9170979,32651960.657684,36039106.8045225,35052099.360481,NA,NA
223.217056274414,1.6732485,NA,351691.726023844,NA,NA,NA
225.108657836914,1.55349125,775263.001476095,595765.661258692,1436829.01840927,846298.354596812,661198.231634908
226.987995147705,1.71525135,9055748.95289701,1299400.66365511,8579342.76544948,1277971.35125701,8361549.66949574
226.988082885742,1.91272075,2173804.83369,9114769.51657837,4280729.9411956,NA,2699964.28785619
227.106376647949,2.0543985,386060.08548956,571335.196701165,694013.788389629,352918.05647489,632942.172592878
228.022029876709,1.79330415,2626659.01616926,920828.374128188,2741120.16054886,1301241.4352498,2826579.40818121
229.141235351562,1.5619664,989396.755342546,679632.989202282,588208.248193989,532175.647418108,1117449.69054389
237.083190917969,1.55571555,362087.611448787,345793.75247777,567154.000538251,533318.215255849,603703.195449471
237.137535095215,1.8937624,789037.587987847,855269.718127169,420961.327525314,715350.975428133,434387.556887061
239.070678710938,2.09198615,443077.816504033,922883.760535312,420434.129935313,442824.646620351,868136.05838904
239.107025146484,2.0159793,563444.612076986,623180.951460163,643029.035204973,798108.892071399,715050.104666982
240.027984619141,0.37840897,504457.801268625,780244.247019787,649369.896459661,972493.21939309,668163.864368283
240.028076171875,0.46588924,489362.681176223,520467.000026876,NA,604816.880746525,778582.795895945
240.065902709961,2.1439016,494370.489794634,601061.777620545,582133.446020512,557828.123782589,406385.928900661
240.180770874023,0.073644759,713204.752152947,826999.314038716,449517.866042585,799221.605580133,739832.864591154
240.231910705566,1.6173099,361208.372303228,NA,NA,NA,NA
241.025848388672,0.24529134,723239.772615998,628253.098476647,688644.213710311,255218.394480655,538323.04384744
241.036148071289,1.7759226,1321709.61426872,340324.991505071,821669.542666262,956401.940697468,739897.211040559
241.049942016602,0.482296575,1691037.20244317,1308967.76633733,680731.366992825,1916007.46779298,948612.672277068
241.086166381836,1.7742636,14768560.7989271,14086284.2297336,12740476.8586871,8510484.04714464,8694870.9471229
241.122451782227,1.3353593,12539166.156654,1595441.40326016,1407022.72649718,1490148.02931913,1227446.17587444
