"mz","rt","peaktable_1_48cfeaa2b4a77273ce366caac107df72 intensity","peaktable_2_e643475138de5bbba29876333731f5d5 intensity","peaktable_3_329405a96fc3ecd6463545f5e357ecad intensity","peaktable_4_780c6675f627e794fefa6d6ff84ece8e intensity","peaktable_5_ec631491bb8bc4f620fbd7dcd84576a6 intensity"
277.168838500976,6.4909743,1007479.04842492,NA,NA,NA,1799990.7230968
277.216583251953,4.8723407,1835282.30580214,3003446.66185323,3141761.70731917,2712396.66825581,2068896.38129528
278.219543457031,5.3218518,NA,NA,2715512.40388145,NA,2085264.22294324
278.219802856445,2.49516415,992381.09872882,345376.636389323,502858.253316375,569669.998418461,694307.234177063
279.148193359375,5.36938,3078438.42152628,2942807.27091441,1724266.54673515,2177208.902521,1357099.94131158
279.184524536133,6.2165315,1719877.29914932,1736181.93048957,1629057.57930759,1208479.7001272,3660039.44783875
279.232025146484,0.31249341,NA,NA,NA,NA,331776.640609479
280.954559326172,6.4974442,512378.536989422,4597748.1168957,345510.845058624,529590.750864073,4344568.79579477
281.153938293457,1.39085115,2989182.86433009,540006.427020003,5522176.63435537,5532120.99848428,5173470.40736166
281.952301025391,2.0867186,565539.587481983,486942.131401828,3382910.79324214,559269.84473258,457428.375350958
282.062896728516,6.6055135,600365.860376277,954254.034926247,887121.782588557,457254.971880988,875028.704856699
282.157379150391,1.3930109,528001.01190054,857226.75593742,1075496.35273383,829837.252762688,867347.643020179
282.950073242188,6.4974442,NA,1303278.32880485,NA,1537567.35281468,1456030.52654054
283.169540405273,1.2158228,936986.942216113,2305628.44680234,511770.523777996,1599725.20716732,1675509.74604056
283.175384521484,1.7387946,405811.5548445,749878.753942767,836931.823357339,545229.385382178,528602.035705153
283.263427734375,1.8079381,2205686.98810224,1416278.8186162,1670523.96296841,975272.792418326,1234233.42004791
284.1728515625,1.3886885,NA,750775.361767594,NA,616060.709642109,570037.284901572
284.97265625,1.9981274,941119.870397809,797453.23318115,1138474.05594924,1297999.41417357,1201680.31061536
286.943038940429,6.58389285,497330.998208512,NA,NA,472326.06227222,NA
286.948303222656,6.4801659,7060564.00453574,6811479.88476458,6698782.34406019,6969679.21420275,6576915.82476165
288.289588928223,6.01772925,NA,NA,3464742.92150845,NA,NA
288.289901733398,2.40007725,847065.555580968,347711.140047233,803005.033609361,547299.073362985,456455.500467174
288.945152282715,6.4866419,3379866.29019919,3180796.84710128,NA,2997712.00560217,3711320.72655973
288.992431640625,6.5536276,1318795.32485961,1529142.72127247,1270800.13431164,1391752.28711867,1311642.42221021
289.126190185547,6.5860666,NA,NA,396962.468285388,637516.836489871,587720.159161361
289.162261962891,0.22604031,NA,589071.46401,NA,NA,NA
289.216522216797,0.30816415,2065944.56768111,1941419.71711609,2331854.29089622,2147152.56985768,423276.924358627
290.943946838379,6.47799755,NA,NA,NA,2479638.62519767,2218487.34691835
291.133560180664,0.342763595,NA,553945.625026284,584216.73103117,456693.164831953,459228.241161513
291.157043457031,0.2519726,426753.272398587,582528.309662496,619874.478561745,518052.658909502,466776.321261877
291.232055664062,3.0570287,2200024.93679137,427476.295234375,336010.962839958,3518466.30379139,4508276.74779382
292.959930419922,1.2287923,14331757.96291,330671.141110373,445028.309459016,383007.741949572,537759.817699529
293.211578369141,0.8527673,NA,NA,325180.337004141,360829.579344122,NA
294.31583404541,3.6686186,5464998.32899705,6291001.51575506,5122318.09614618,5761463.6082646,1686846.76789761
297.007476806641,0.7101341,719916.607351744,826581.383999587,563791.097785324,818705.830334977,550226.528729601
297.991485595703,1.0429203,1568532.72196655,1461929.84237633,1785656.42522843,2062871.73186458,1379238.91837383
298.34716796875,0.71445613,954056.101411688,693956.807995454,2003863.63667302,802712.872920962,801940.688294742
300.202056884766,6.5838865,258535.425932208,488060.432620757,404301.126466878,252430.582979083,345704.442858914
300.278076171875,1.2633538,957046.999628366,540300.011658756,1029067.68700535,590655.28292283,357273.509230501
301.162612915039,0.25197683,NA,NA,NA,780459.578130389,684882.821699733
302.974334716797,2.9144437,505405.537439212,1692443.9803714,1965857.60512875,627988.548720065,1091109.62075063
303.141639709473,2.49732335,722569.612661615,527110.917279349,514997.998511878,1182631.99905861,678363.808593278
304.008331298828,4.3493637,4067782.37230066,3936570.86182573,3304455.18379743,3002073.02819115,2460959.62461853
304.300231933594,2.7631689,1187878.51488741,481899.007297945,1190832.59169225,573968.972442447,914360.179392798
304.970458984375,6.5341802,NA,477725.972903979,NA,555030.584361999,NA
305.011810302734,6.5579953,NA,706780.076172404,495472.977748434,NA,321125.048276022
305.157440185547,3.8782359,13350096.3267255,9484336.30169395,8607749.21202896,8913071.41655127,8671505.62549127
305.211608886719,0.334093,1558779.05397255,1371460.03404897,1259282.46956855,1153138.69280332,987355.482970233
306.160614013672,2.42170575,860074.475037564,371667.341201087,974606.367693563,300642.44257503,401464.566833858
306.279327392578,3.4935778,438501.269472093,NA,NA,1384347.264414,1330799.36340075
307.227142333984,0.48105625,835380.930208962,816049.204976179,541967.496258094,708036.002495589,788363.500529611
308.230499267578,0.30817617,1439436.58183024,1523292.89756074,1988845.35481995,1608324.92083534,1877142.3163945
308.991271972656,6.5017824,5212485.09507339,4245164.48242376,4608849.09014587,4384175.51692383,4738037.41270204
309.131530761719,0.29523575,NA,NA,475316.787720077,NA,NA
309.242721557617,0.902471865,1323531.26287736,NA,1464960.05040113,1238798.17612688,1159555.31236106
310.169326782227,0.344917555,NA,723310.474099557,623025.648629855,521565.971020019,508786.796307079
310.310729980469,1.4664952,1499264.81500397,1297789.8885975,1262659.54042448,1357738.39642078,1249491.358029
311.086029052734,0.28223838,NA,NA,NA,NA,464244.268806504
311.104614257812,3.2990873,1983356.10725597,NA,NA,NA,NA
311.294616699219,1.851175,1130758.5309968,NA,NA,NA,NA
312.362670898438,1.6977447,NA,1443900.98577924,351250.7115705,NA,NA
313.025024414062,4.9566116,15965323.1703949,1700933.27307563,864292.792599144,980963.616834754,933335.39860482
313.235412597656,0.68850787,312153.574439798,305418.751811766,NA,380236.703691488,NA
314.779525756836,6.3461777,3538919.5067541,2946060.654621,3977170.55864438,4621561.31130412,4440124.62724837
315.178176879883,0.25847657,670144.601047835,1421031.08750796,1314797.68781552,1187768.1402101,NA
315.180572509766,4.1073247,685655.911987598,1550610.81507112,1747001.74599675,1767715.66783829,1414922.53102885
316.002044677734,6.9823636,724462.778741203,509938.462375363,692667.134553052,599868.551918487,742613.516085819
316.186462402344,0.338415,2368522.09650835,3565217.33599139,3393118.86388436,2979505.53648393,2831234.77240039
316.321350097656,1.4535239,NA,814585.606083964,574812.555840845,487658.012903155,487853.525089805
316.921279907227,6.5320621,1115671.1011051,1243381.82887637,1226479.65145674,946942.537690213,1264388.3206362
317.157493591308,6.51692215,745738.877644054,851545.202675253,950393.585406765,NA,820901.846434405
317.189788818359,0.33845667,NA,458057.722871505,506281.948614485,357882.931510479,NA
317.208984375,0.37733514,NA,591101.467616663,452736.855595402,NA,NA
319.284576416016,0.5847873,NA,NA,NA,NA,512917.299995019
320.258674621582,0.396762265,580122.524431027,779802.333793729,477901.566137801,419681.487773911,NA
320.9404296875,5.55089675,4289434.49342851,2920163.91742461,1127079.74172047,3693893.03711362,2820198.84626097
321.15234375,6.5406759,NA,NA,475603.59937521,582027.033242957,630761.814852107
