"mz","rt","peaktable_1_b7395992449dfd483a9252839606b237 intensity","peaktable_2_9088c9bb03b996378922c647cf074a20 intensity","peaktable_3_dcc2459184097df9045af661688f5c8a intensity","peaktable_4_8e9143ab92bc68bcc4b903e5bf1abe62 intensity","peaktable_5_160fc6371b5d43397f685b6d8d718fdb intensity"
207.078460693359,2.1225407,72000.9629183092,142796.264224832,50054.6129292826,61935.7839611864,124267.637168216
207.993263244629,1.73901505,NA,293626.618707223,359432.083820121,313472.848022672,300838.330349506
208.075408935547,2.1141949,137303.738948308,123550.087270026,121931.166240915,136837.138198136,138555.215474701
208.133438110352,0.0472365075,63264.9195324596,57951.7089229283,66042.4494735255,68530.4017504734,63166.2941164337
208.169815063477,0.09114779,NA,71284.0031924892,68938.5421747224,85015.7856215713,102512.425443124
208.18098449707,0.15116771,257289.702239001,219409.753443476,298428.219794933,233002.977520648,226417.071607682
208.991180419922,0.66175194,188197.379003309,262498.682811787,191667.463641306,167246.758373986,139736.305654408
209.201381683349,0.938887975,363703.630238456,131132.849259932,396982.190328797,133127.511444864,82953.2070726043
210.110687255859,1.50375105,983069.884831068,950505.212630035,2274682.0205444,1921942.21406934,649818.94409246
210.185928344727,0.049594094,NA,NA,NA,NA,26920.6474121689
211.216995239258,1.5211232,280628.913612962,504490.423855313,291160.838915977,252393.025615684,1286290.396531
212.037567138672,1.9376544,529887.945718898,566753.800193059,591201.013728986,606269.085069376,509620.429247671
212.220855712891,1.9310887,NA,NA,NA,NA,393869.481171656
212.986289978028,0.041889808,NA,45207.8084122192,55251.3454703235,54325.5883582367,49090.5399119068
214.040588378906,0.0938198235,NA,NA,NA,93876.5649417143,81088.2403834866
214.062484741211,0.94794124,211302.850529914,257680.881130937,379081.716051494,416643.290887183,479306.093456859
214.253387451172,0.65299779,423148.274117776,635147.636495517,627884.375051998,662094.757775439,629289.255283922
215.089233398438,0.65074737,328309.884040629,107108.662752581,272223.317502006,103311.793587001,113295.890138909
215.12565612793,1.5319411,762099.584351291,730482.815357812,572978.90105306,665370.676504358,1026785.16521229
215.256973266602,2.1374646,94756.3447581375,105276.238613175,92566.9638073764,110228.921749664,57992.0495507122
216.027885437011,0.524935205,NA,NA,NA,93707.6097433477,127698.736875388
216.090980529785,2.01402135,583748.225921214,372758.622382616,649787.349257131,334050.33003504,294785.197389434
217.074829101562,2.0053104,473088.898616102,387855.877516642,416121.429297156,448172.951188007,414906.350066247
217.104393005371,0.703295665,14670036.6303663,15701862.1932417,NA,14917561.8729652,15182735.7717019
217.104904174805,1.5325741,7234789.25039344,6031599.28866564,395579.021223142,4865240.50318088,7488683.44423932
218.069747924805,1.5301507,NA,717175.342543524,NA,NA,NA
218.070571899414,0.9234049,416918.214644679,356128.527721722,150411.538838473,189952.802464307,644778.937574556
218.106872558594,1.36898905,1038496.70421721,5049056.7686732,2127735.07222585,4859905.8870283,1056350.41494572
219.090621948242,1.5988668,917222.529128873,352833.796579148,1485659.89251599,1921244.95305619,2711132.35278497
219.109786987305,2.0069558,124597.662119902,80294.8781874026,573255.605859528,151256.349070333,116714.862068148
219.127197265625,1.8074883,1090373.37959053,1031081.71640965,1122803.9958828,1154640.42198795,973514.59667592
220.17041015625,0.078045127,NA,NA,NA,NA,71634.5500144782
220.909744262695,1.9194133,325209.924633223,556541.840351155,1453755.10654167,484662.764829774,227989.904387203
220.971435546875,1.587281,376722.842872321,453223.231533985,188500.639961369,963602.129068031,664556.158774168
